Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
RETDAYESX608	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX609	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX610	XIV_6050013	2969.600	svcmbge01v	T1
RETDAYESX611	VNX_APM00125172990-FAST	2194.286	svcmbge01v	T2
RETDAYESX612	VNX_APM00125172990-FAST	2194.286	svcmbge01v	T2
RETDAYESX613	VNX_APM00125172990-FAST	2194.286	svcmbge01v	T2
RETDAYESX614	VNX_APM00125172990-FAST	2194.286	svcmbge01v	T2
RETDAYESX615	VNX_APM00125172990-FAST	2194.286	svcmbge01v	T2
RETDAYESX616	VNX_APM00125172990-FAST	2194.286	svcmbge01v	T2
RETDAYESX617	VNX_APM00125172990-FAST	2194.286	svcmbge01v	T2
RETDAYESX630	XIV_7825620	2937.500	svcmbge01v	T1
RETDAYESX631	XIV_7825620	2937.500	svcmbge01v	T1
RETDAYESX632	XIV_7825620	2937.500	svcmbge01v	T1
RETDAYESX633	XIV_7825620	2937.500	svcmbge01v	T1
RETDAYESX634	XIV_7825620	2937.500	svcmbge01v	T1
RETDAYESX635	XIV_7825620	2937.500	svcmbge01v	T1
RETDAYESX652	XIV_7825620	2500.000	svcmbge01v	T1
RETDAYESX653	XIV_7825620	2500.000	svcmbge01v	T1
RETDAYESX654	XIV_7825620	2500.000	svcmbge01v	T1
RETDAYESX655	XIV_7825620	2500.000	svcmbge01v	T1
RETDAYESX670	XIV_7825620	2750.000	svcmbge01v	T1
RETDAYESX672	XIV_7825620	2937.500	svcmbge01v	T1
RETDAYESX673	XIV_7825620	2750.000	svcmbge01v	T1
RETDAYESX674	XIV_7825620	2750.000	svcmbge01v	T1
RETDAYESX675	XIV_7825620	2937.500	svcmbge01v	T1
RETDAYESX676	XIV_7825620	2750.000	svcmbge01v	T1
RETDAYESX680	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX681	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX682	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX683	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX684	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX686	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX687	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX688	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX689	VNX_APM00125172990-FAST	2777.778	svcmbge01v	T2
RETDAYESX700	XIV_7825620	76.923	svcmbge01v	T1
RETDAYESX700	XIV_6050013	153.846	svcmbge01v	T1
RETDAYESX700	XIV_7820623	230.769	svcmbge01v	T1
RETDAYESX700	XIV_6050008	692.308	svcmbge01v	T1
